"","Concepto","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura","year","mes","Mes"
"1","PROVISIONES PARA CRÉDITOS DIRECTOS",8930.74824,2831.13952,4596.87674,5446.37206,2016,1,2016-01-01
"2","PROVISIONES PARA CRÉDITOS DIRECTOS",8487.89057,3002.66195,3473.39649,3875.24274,2016,2,2016-02-01
"3","PROVISIONES PARA CRÉDITOS DIRECTOS",9436.92297,2757.22456,3024.60365,4729.11006,2016,3,2016-03-01
"4","PROVISIONES PARA CRÉDITOS DIRECTOS",6860.22943,3266.54037,1992.36289,4302.57517,2016,4,2016-04-01
"5","PROVISIONES PARA CRÉDITOS DIRECTOS",9052.86096,3515.08684,2264.87696,4331.23688,2016,5,2016-05-01
"6","PROVISIONES PARA CRÉDITOS DIRECTOS",1378.98698,3465.37997,1592.77878,5773.60737,2016,6,2016-06-01
"7","PROVISIONES PARA CRÉDITOS DIRECTOS",9482.95284,3064.74913,4834.99112999999,7074.17939,2016,7,2016-07-01
"8","PROVISIONES PARA CRÉDITOS DIRECTOS",7241.62188000001,2878.80231,3023.00027,4734.87412,2016,8,2016-08-01
"9","PROVISIONES PARA CRÉDITOS DIRECTOS",6463.24152,3259.10476,3909.36694,6065.36356000001,2016,9,2016-09-01
"10","PROVISIONES PARA CRÉDITOS DIRECTOS",1923.17393999999,1556.04491,3776.96748,4838.54377,2016,10,2016-10-01
"11","PROVISIONES PARA CRÉDITOS DIRECTOS",13792.02888,2122.78828,562.077929999999,7097.23989999999,2016,11,2016-11-01
"12","PROVISIONES PARA CRÉDITOS DIRECTOS",19680.72595,4261.39114000001,4379.01597,6762.36433,2016,12,2016-12-01
"13","PROVISIONES PARA CRÉDITOS DIRECTOS",56.6390999283168,30.0464658838149,-5.58741999247082,57.2821095516563,2017,1,2017-01-01
"14","PROVISIONES PARA CRÉDITOS DIRECTOS",-2.86950636311041,7.5184524185282,38.4472467754466,75.4450932794987,2017,2,2017-02-01
"15","PROVISIONES PARA CRÉDITOS DIRECTOS",10.0898960712826,26.2118708241885,91.0186222250971,-34.5381471202217,2017,3,2017-03-01
"16","PROVISIONES PARA CRÉDITOS DIRECTOS",85.1936217241059,12.2538454958694,220.459115758776,46.8912990542826,2017,4,2017-04-01
"17","PROVISIONES PARA CRÉDITOS DIRECTOS",13.6169634709601,39.4357517494504,153.588946394687,1.2153960048473,2017,5,2017-05-01
"18","PROVISIONES PARA CRÉDITOS DIRECTOS",824.382542756131,-19.0077920950181,98.8909495642573,4.07209730300733,2017,6,2017-06-01
"19","PROVISIONES PARA CRÉDITOS DIRECTOS",23.2452327581122,-0.283521411751042,22.1375039006536,4.12618261296311,2017,7,2017-07-01
"20","PROVISIONES PARA CRÉDITOS DIRECTOS",66.6403548813847,5.63111087680099,144.227960654465,17.6013587453091,2017,8,2017-08-01
"21","PROVISIONES PARA CRÉDITOS DIRECTOS",87.8676178574865,23.0311326353313,51.473103468768,37.6819359200951,2017,9,2017-09-01
